2026-07-22 21:14:45 | INFO | BI | === RUN START ===
2026-07-22 21:14:45 | INFO | BI | project=BI
2026-07-22 21:14:45 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-22 21:14:45 | INFO | BI | python=3.14.6
2026-07-22 21:14:45 | INFO | BI | os=Windows 11
2026-07-22 21:14:45 | INFO | BI | shell=powershell
2026-07-22 21:14:45 | INFO | BI | cwd=.
2026-07-22 21:14:45 | INFO | BI | github_actions=False
2026-07-22 21:14:45 | INFO | BI | ========================
2026-07-22 21:14:45 | INFO | BI | START main()
2026-07-22 21:14:45 | INFO | BI | ========================
2026-07-22 21:14:45 | INFO | BI | Prepared data: = data\prepared
2026-07-22 21:14:45 | INFO | BI | Data warehouse: = artifacts\smart_sales.duckdb
2026-07-22 21:14:45 | INFO | BI | CALL a function to load each prepared dataset.............
2026-07-22 21:14:45 | INFO | BI | Loading customers prepared from data\prepared\customers_data_prepared.csv
2026-07-22 21:14:45 | INFO | BI | Loaded: 200 rows, 4 columns
2026-07-22 21:14:45 | INFO | BI | Loading products prepared from data\prepared\products_data_prepared.csv
2026-07-22 21:14:45 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-22 21:14:45 | INFO | BI | Loading sales prepared from data\prepared\sales_data_prepared.csv
2026-07-22 21:14:45 | INFO | BI | Loaded: 2392 rows, 7 columns
2026-07-22 21:14:45 | INFO | BI | ========================
2026-07-22 21:14:45 | INFO | BI | ROW COUNTS BEFORE LOAD
2026-07-22 21:14:45 | INFO | BI | ========================
2026-07-22 21:14:45 | INFO | BI |   Customers: 200 rows
2026-07-22 21:14:45 | INFO | BI |   Products:  100 rows
2026-07-22 21:14:45 | INFO | BI |   Sales:     2392 rows
2026-07-22 21:14:45 | INFO | BI | Connecting to DuckDB data warehouse........
2026-07-22 21:15:24 | INFO | BI | === RUN START ===
2026-07-22 21:15:24 | INFO | BI | project=BI
2026-07-22 21:15:24 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-22 21:15:24 | INFO | BI | python=3.14.6
2026-07-22 21:15:25 | INFO | BI | os=Windows 11
2026-07-22 21:15:25 | INFO | BI | shell=powershell
2026-07-22 21:15:25 | INFO | BI | cwd=.
